cut,count,mean,median
Ideal,4040,-4.44183669035453,-4.629800453653695
Premium,2439,-3.5557658707654465,-3.60179533090675
Very Good,2296,-5.809101857212325,-6.0515061534881145
Good,925,-7.979967735906027,-8.35493902273075
Fair,300,-8.180377673846998,-8.918984669022496
