clarity,count,mean,median
SI1,2408,-5.686017778035715,-6.278066572468704
VS2,2256,-5.135118570782275,-5.615517721725585
SI2,1743,-4.793542956778258,-5.06697055081927
VS1,1503,-4.435145619326117,-4.87276612641027
VVS2,951,-4.588576116427798,-4.70834159554964
VVS1,675,-4.5116520038991075,-4.7910603262208
IF,318,-3.8885957489569694,-3.44009577714906
I1,146,-5.802825531687537,-6.77473261817317
